GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Married-couple family:,Margin of Error; Married-couple family:,Estimate; Married-couple family: - With own children of the householder under 18 years:,Margin of Error; Married-couple family: - With own children of the householder under 18 years:,Estimate; Married-couple family: - With own children of the householder under 18 years: - Under 6 years only,Margin of Error; Married-couple family: - With own children of the householder under 18 years: - Under 6 years only,Estimate; Married-couple family: - With own children of the householder under 18 years: - Under 6 years and 6 to 17 years,Margin of Error; Married-couple family: - With own children of the householder under 18 years: - Under 6 years and 6 to 17 years,Estimate; Married-couple family: - With own children of the householder under 18 years: - 6 to 17 years only,Margin of Error; Married-couple family: - With own children of the householder under 18 years: - 6 to 17 years only,Estimate; Married-couple family: - No own children of the householder under 18 years,Margin of Error; Married-couple family: - No own children of the householder under 18 years,Estimate; Other family:,Margin of Error; Other family:,"Estimate; Other family: - Male householder, no wife present:","Margin of Error; Other family: - Male householder, no wife present:","Estimate; Other family: - Male householder, no wife present: - With own children of the householder under 18 years:","Margin of Error; Other family: - Male householder, no wife present: - With own children of the householder under 18 years:","Estimate; Other family: - Male householder, no wife present: - With own children of the householder under 18 years: - Under 6 years only","Margin of Error; Other family: - Male householder, no wife present: - With own children of the householder under 18 years: - Under 6 years only","Estimate; Other family: - Male householder, no wife present: - With own children of the householder under 18 years: - Under 6 years and 6 to 17 years","Margin of Error; Other family: - Male householder, no wife present: - With own children of the householder under 18 years: - Under 6 years and 6 to 17 years","Estimate; Other family: - Male householder, no wife present: - With own children of the householder under 18 years: - 6 to 17 years only","Margin of Error; Other family: - Male householder, no wife present: - With own children of the householder under 18 years: - 6 to 17 years only","Estimate; Other family: - Male householder, no wife present: - No own children of the householder under 18 years","Margin of Error; Other family: - Male householder, no wife present: - No own children of the householder under 18 years","Estimate; Other family: - Female householder, no husband present:","Margin of Error; Other family: - Female householder, no husband present:","Estimate; Other family: - Female householder, no husband present: - With own children of the householder under 18 years:","Margin of Error; Other family: - Female householder, no husband present: - With own children of the householder under 18 years:","Estimate; Other family: - Female householder, no husband present: - With own children of the householder under 18 years: - Under 6 years only","Margin of Error; Other family: - Female householder, no husband present: - With own children of the householder under 18 years: - Under 6 years only","Estimate; Other family: - Female householder, no husband present: - With own children of the householder under 18 years: - Under 6 years and 6 to 17 years","Margin of Error; Other family: - Female householder, no husband present: - With own children of the householder under 18 years: - Under 6 years and 6 to 17 years","Estimate; Other family: - Female householder, no husband present: - With own children of the householder under 18 years: - 6 to 17 years only","Margin of Error; Other family: - Female householder, no husband present: - With own children of the householder under 18 years: - 6 to 17 years only","Estimate; Other family: - Female householder, no husband present: - No own children of the householder under 18 years","Margin of Error; Other family: - Female householder, no husband present: - No own children of the householder under 18 years"
1500000US360610001001,360610001001,"Block Group 1, Census Tract 1, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002010,360610002010,"Block Group 0, Census Tract 2.01, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002011,360610002011,"Block Group 1, Census Tract 2.01, New York County, New York",172,76,128,62,35,41,0,11,0,11,35,41,93,50,44,46,0,11,0,11,0,11,0,11,0,11,0,11,44,46,21,30,0,11,21,30,0,11,23,36
1500000US360610002012,360610002012,"Block Group 2, Census Tract 2.01, New York County, New York",466,100,176,64,26,34,0,11,0,11,26,34,150,56,290,87,53,44,37,36,25,31,0,11,12,19,16,18,237,86,65,66,0,11,40,60,25,26,172,67
1500000US360610002020,360610002020,"Block Group 0, Census Tract 2.02, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002021,360610002021,"Block Group 1, Census Tract 2.02, New York County, New York",165,108,152,114,76,79,0,11,0,11,76,79,76,71,13,21,13,21,0,11,0,11,0,11,0,11,13,21,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002022,360610002022,"Block Group 2, Census Tract 2.02, New York County, New York",564,140,300,119,121,88,27,43,0,11,94,79,179,86,264,109,72,75,0,11,0,11,0,11,0,11,72,75,192,91,58,59,0,11,0,11,58,59,134,79
1500000US360610002023,360610002023,"Block Group 3, Census Tract 2.02, New York County, New York",346,124,105,93,13,26,0,11,0,11,13,26,92,88,241,113,25,29,0,11,0,11,0,11,0,11,25,29,216,108,176,109,37,62,42,67,97,85,40,33
1500000US360610002024,360610002024,"Block Group 4, Census Tract 2.02, New York County, New York",453,190,374,184,134,131,0,11,38,61,96,132,240,152,79,69,14,23,14,23,0,11,0,11,14,23,0,11,65,64,55,61,0,11,0,11,55,61,10,18
1500000US360610002025,360610002025,"Block Group 5, Census Tract 2.02, New York County, New York",389,121,285,114,133,85,15,24,0,11,118,83,152,88,104,79,0,11,0,11,0,11,0,11,0,11,0,11,104,79,47,45,33,41,0,11,14,21,57,61
1500000US360610005000,360610005000,"Block Group 0, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610005001,360610005001,"Block Group 1, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610005002,360610005002,"Block Group 2, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610006000,360610006000,"Block Group 0, Census Tract 6, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610006001,360610006001,"Block Group 1, Census Tract 6, New York County, New York",304,201,200,144,141,129,76,93,0,11,65,104,59,68,104,133,82,127,0,11,0,11,0,11,0,11,82,127,22,38,0,11,0,11,0,11,0,11,22,38
1500000US360610006002,360610006002,"Block Group 2, Census Tract 6, New York County, New York",771,356,247,164,51,59,0,11,0,11,51,59,196,158,524,321,126,128,0,11,0,11,0,11,0,11,126,128,398,263,286,233,16,28,0,11,270,231,112,121
1500000US360610006003,360610006003,"Block Group 3, Census Tract 6, New York County, New York",198,147,198,147,106,127,0,11,0,11,106,127,92,112,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610006004,360610006004,"Block Group 4, Census Tract 6, New York County, New York",114,97,95,89,32,52,0,11,32,52,0,11,63,71,19,30,0,11,0,11,0,11,0,11,0,11,0,11,19,30,0,11,0,11,0,11,0,11,19,30
1500000US360610006005,360610006005,"Block Group 5, Census Tract 6, New York County, New York",798,260,292,150,152,129,64,130,0,11,88,68,140,127,506,243,0,11,0,11,0,11,0,11,0,11,0,11,506,243,252,176,0,11,112,135,140,173,254,181
1500000US360610006006,360610006006,"Block Group 6, Census Tract 6, New York County, New York",626,189,450,176,95,109,67,102,0,11,28,45,355,142,176,118,0,11,0,11,0,11,0,11,0,11,0,11,176,118,0,11,0,11,0,11,0,11,176,118
1500000US360610007000,360610007000,"Block Group 0, Census Tract 7, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610007001,360610007001,"Block Group 1, Census Tract 7, New York County, New York",1314,308,1218,310,512,199,154,109,121,125,237,136,706,267,96,77,60,58,26,41,26,41,0,16,0,16,34,41,36,53,25,42,25,42,0,16,0,16,11,32
1500000US360610007002,360610007002,"Block Group 2, Census Tract 7, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610008000,360610008000,"Block Group 0, Census Tract 8, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610008001,360610008001,"Block Group 1, Census Tract 8, New York County, New York",299,120,170,109,15,24,0,11,0,11,15,24,155,102,129,82,28,36,0,11,0,11,0,11,0,11,28,36,101,78,88,76,0,11,0,11,88,76,13,22
1500000US360610008002,360610008002,"Block Group 2, Census Tract 8, New York County, New York",311,115,195,104,89,75,0,11,54,65,35,40,106,80,116,80,49,55,0,11,0,11,0,11,0,11,49,55,67,62,45,55,13,21,0,11,32,52,22,29
1500000US360610008003,360610008003,"Block Group 3, Census Tract 8, New York County, New York",444,146,235,130,111,89,0,11,0,11,111,89,124,96,209,105,28,42,28,42,0,11,0,11,28,42,0,11,181,95,122,78,46,55,33,44,43,39,59,61
1500000US360610008004,360610008004,"Block Group 4, Census Tract 8, New York County, New York",593,173,388,176,127,112,49,61,0,11,78,92,261,147,205,114,36,41,22,34,0,11,0,11,22,34,14,23,169,105,19,23,0,11,0,11,19,23,150,103
