GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
Id,Id2,Geography,Estimate; Median age -- - Total:,Margin of Error; Median age -- - Total:,Estimate; Median age -- - Male,Margin of Error; Median age -- - Male,Estimate; Median age -- - Female,Margin of Error; Median age -- - Female
1500000US360610001001,360610001001,"Block Group 1, Census Tract 1, New York County, New York",-,**,-,**,-,**
1500000US360610002010,360610002010,"Block Group 0, Census Tract 2.01, New York County, New York",-,**,-,**,-,**
1500000US360610002011,360610002011,"Block Group 1, Census Tract 2.01, New York County, New York",33.6,5.4,33.9,5.9,30.4,12.3
1500000US360610002012,360610002012,"Block Group 2, Census Tract 2.01, New York County, New York",47.5,4.6,34.7,21.4,53.5,10.1
1500000US360610002020,360610002020,"Block Group 0, Census Tract 2.02, New York County, New York",-,**,-,**,-,**
1500000US360610002021,360610002021,"Block Group 1, Census Tract 2.02, New York County, New York",50.5,27.2,50.3,27.3,53.2,35.9
1500000US360610002022,360610002022,"Block Group 2, Census Tract 2.02, New York County, New York",50.4,5.5,50.9,5.3,49.1,16.2
1500000US360610002023,360610002023,"Block Group 3, Census Tract 2.02, New York County, New York",42.2,19.5,53.0,17.0,32.9,9.5
1500000US360610002024,360610002024,"Block Group 4, Census Tract 2.02, New York County, New York",37.9,10.9,43.0,24.9,35.6,7.4
1500000US360610002025,360610002025,"Block Group 5, Census Tract 2.02, New York County, New York",45.5,2.8,44.3,8.4,46.2,2.6
1500000US360610005000,360610005000,"Block Group 0, Census Tract 5, New York County, New York",-,**,-,**,-,**
1500000US360610005001,360610005001,"Block Group 1, Census Tract 5, New York County, New York",-,**,-,**,-,**
1500000US360610005002,360610005002,"Block Group 2, Census Tract 5, New York County, New York",-,**,-,**,-,**
1500000US360610006000,360610006000,"Block Group 0, Census Tract 6, New York County, New York",-,**,-,**,-,**
1500000US360610006001,360610006001,"Block Group 1, Census Tract 6, New York County, New York",47.6,3.9,47.6,5.1,47.0,18.3
1500000US360610006002,360610006002,"Block Group 2, Census Tract 6, New York County, New York",44.0,17.1,36.8,10.4,47.3,16.1
1500000US360610006003,360610006003,"Block Group 3, Census Tract 6, New York County, New York",56.9,46.5,81.0,39.1,48.9,38.9
1500000US360610006004,360610006004,"Block Group 4, Census Tract 6, New York County, New York",49.2,12.4,43.7,16.4,49.9,25.4
1500000US360610006005,360610006005,"Block Group 5, Census Tract 6, New York County, New York",28.3,9.5,26.3,12.7,29.0,15.9
1500000US360610006006,360610006006,"Block Group 6, Census Tract 6, New York County, New York",45.0,8.4,42.5,7.8,45.6,16.3
1500000US360610007000,360610007000,"Block Group 0, Census Tract 7, New York County, New York",-,**,-,**,-,**
1500000US360610007001,360610007001,"Block Group 1, Census Tract 7, New York County, New York",29.3,1.2,29.1,1.5,29.4,1.4
1500000US360610007002,360610007002,"Block Group 2, Census Tract 7, New York County, New York",-,**,-,**,-,**
1500000US360610008000,360610008000,"Block Group 0, Census Tract 8, New York County, New York",-,**,-,**,-,**
1500000US360610008001,360610008001,"Block Group 1, Census Tract 8, New York County, New York",49.4,10.4,50.0,11.7,46.5,12.4
1500000US360610008002,360610008002,"Block Group 2, Census Tract 8, New York County, New York",41.0,10.0,41.3,23.7,40.8,2.8
1500000US360610008003,360610008003,"Block Group 3, Census Tract 8, New York County, New York",42.3,3.7,39.2,9.7,43.2,5.3
1500000US360610008004,360610008004,"Block Group 4, Census Tract 8, New York County, New York",48.7,4.8,48.7,6.5,48.7,9.3
1500000US360610008005,360610008005,"Block Group 5, Census Tract 8, New York County, New York",48.0,4.5,40.6,13.1,50.6,6.5
1500000US360610008006,360610008006,"Block Group 6, Census Tract 8, New York County, New York",46.7,5.8,43.5,17.0,47.9,14.5
1500000US360610009000,360610009000,"Block Group 0, Census Tract 9, New York County, New York",-,**,-,**,-,**
1500000US360610009001,360610009001,"Block Group 1, Census Tract 9, New York County, New York",33.1,1.7,34.1,2.1,30.4,2.8
1500000US360610009002,360610009002,"Block Group 2, Census Tract 9, New York County, New York",-,**,-,**,-,**
1500000US360610010010,360610010010,"Block Group 0, Census Tract 10.01, New York County, New York",-,**,-,**,-,**
1500000US360610010011,360610010011,"Block Group 1, Census Tract 10.01, New York County, New York",44.8,2.3,43.8,2.4,45.6,1.8
1500000US360610010020,360610010020,"Block Group 0, Census Tract 10.02, New York County, New York",-,**,-,**,-,**
1500000US360610010021,360610010021,"Block Group 1, Census Tract 10.02, New York County, New York",33.9,9.8,17.7,16.0,38.2,5.0
1500000US360610010022,360610010022,"Block Group 2, Census Tract 10.02, New York County, New York",48.3,9.5,38.3,22.5,53.6,10.4
1500000US360610010023,360610010023,"Block Group 3, Census Tract 10.02, New York County, New York",31.9,6.9,25.2,7.7,42.5,13.3
1500000US360610012001,360610012001,"Block Group 1, Census Tract 12, New York County, New York",50.3,3.9,48.5,5.9,50.9,13.2
1500000US360610012002,360610012002,"Block Group 2, Census Tract 12, New York County, New York",43.1,4.3,43.7,6.6,41.5,3.8
1500000US360610012003,360610012003,"Block Group 3, Census Tract 12, New York County, New York",44.2,5.8,44.4,7.0,44.0,6.9
1500000US360610013001,360610013001,"Block Group 1, Census Tract 13, New York County, New York",30.5,2.0,31.9,2.1,28.1,2.2
1500000US360610013002,360610013002,"Block Group 2, Census Tract 13, New York County, New York",31.1,1.7,30.9,2.4,31.3,1.9
1500000US360610014011,360610014011,"Block Group 1, Census Tract 14.01, New York County, New York",46.3,5.7,41.7,5.2,50.2,10.6
1500000US360610014012,360610014012,"Block Group 2, Census Tract 14.01, New York County, New York",45.8,4.1,44.6,4.2,47.9,7.2
1500000US360610014021,360610014021,"Block Group 1, Census Tract 14.02, New York County, New York",37.3,3.0,38.0,1.6,32.7,10.1
1500000US360610014022,360610014022,"Block Group 2, Census Tract 14.02, New York County, New York",42.5,6.0,38.7,4.1,44.0,7.7
1500000US360610015010,360610015010,"Block Group 0, Census Tract 15.01, New York County, New York",-,**,-,**,-,**
1500000US360610015011,360610015011,"Block Group 1, Census Tract 15.01, New York County, New York",31.5,1.2,32.2,1.6,30.3,3.8
1500000US360610015012,360610015012,"Block Group 2, Census Tract 15.01, New York County, New York",56.5,5.5,51.9,7.4,58.9,7.0
