GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Family households:,Margin of Error; Family households:,Estimate; Family households: - Married-couple family,Margin of Error; Family households: - Married-couple family,Estimate; Family households: - Other family:,Margin of Error; Family households: - Other family:,"Estimate; Family households: - Other family: - Male householder, no wife present","Margin of Error; Family households: - Other family: - Male householder, no wife present","Estimate; Family households: - Other family: - Female householder, no husband present","Margin of Error; Family households: - Other family: - Female householder, no husband present",Estimate; Nonfamily households:,Margin of Error; Nonfamily households:,Estimate; Nonfamily households: - Householder living alone,Margin of Error; Nonfamily households: - Householder living alone,Estimate; Nonfamily households: - Householder not living alone,Margin of Error; Nonfamily households: - Householder not living alone
1500000US360610001001,360610001001,"Block Group 1, Census Tract 1, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002010,360610002010,"Block Group 0, Census Tract 2.01, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002011,360610002011,"Block Group 1, Census Tract 2.01, New York County, New York",288,80,172,76,128,62,44,46,0,11,44,46,116,58,46,46,70,43
1500000US360610002012,360610002012,"Block Group 2, Census Tract 2.01, New York County, New York",690,89,466,100,176,64,290,87,53,44,237,86,224,100,215,99,9,14
1500000US360610002020,360610002020,"Block Group 0, Census Tract 2.02, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002021,360610002021,"Block Group 1, Census Tract 2.02, New York County, New York",276,113,165,108,152,114,13,21,13,21,0,11,111,64,111,64,0,11
1500000US360610002022,360610002022,"Block Group 2, Census Tract 2.02, New York County, New York",936,178,564,140,300,119,264,109,72,75,192,91,372,124,372,124,0,11
1500000US360610002023,360610002023,"Block Group 3, Census Tract 2.02, New York County, New York",760,159,346,124,105,93,241,113,25,29,216,108,414,135,399,133,15,25
1500000US360610002024,360610002024,"Block Group 4, Census Tract 2.02, New York County, New York",719,189,453,190,374,184,79,69,14,23,65,64,266,158,266,158,0,11
1500000US360610002025,360610002025,"Block Group 5, Census Tract 2.02, New York County, New York",805,119,389,121,285,114,104,79,0,11,104,79,416,115,319,106,97,80
1500000US360610005000,360610005000,"Block Group 0, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610005001,360610005001,"Block Group 1, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610005002,360610005002,"Block Group 2, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610006000,360610006000,"Block Group 0, Census Tract 6, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610006001,360610006001,"Block Group 1, Census Tract 6, New York County, New York",563,232,304,201,200,144,104,133,82,127,22,38,259,160,259,160,0,11
1500000US360610006002,360610006002,"Block Group 2, Census Tract 6, New York County, New York",1185,337,771,356,247,164,524,321,126,128,398,263,414,165,414,165,0,11
1500000US360610006003,360610006003,"Block Group 3, Census Tract 6, New York County, New York",319,156,198,147,198,147,0,11,0,11,0,11,121,74,121,74,0,11
1500000US360610006004,360610006004,"Block Group 4, Census Tract 6, New York County, New York",297,162,114,97,95,89,19,30,0,11,19,30,183,144,170,144,13,20
1500000US360610006005,360610006005,"Block Group 5, Census Tract 6, New York County, New York",1059,242,798,260,292,150,506,243,0,11,506,243,261,147,238,143,23,37
1500000US360610006006,360610006006,"Block Group 6, Census Tract 6, New York County, New York",809,199,626,189,450,176,176,118,0,11,176,118,183,110,183,110,0,11
1500000US360610007000,360610007000,"Block Group 0, Census Tract 7, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610007001,360610007001,"Block Group 1, Census Tract 7, New York County, New York",4578,351,1314,308,1218,310,96,77,60,58,36,53,3264,384,2235,372,1029,259
1500000US360610007002,360610007002,"Block Group 2, Census Tract 7, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610008000,360610008000,"Block Group 0, Census Tract 8, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610008001,360610008001,"Block Group 1, Census Tract 8, New York County, New York",387,124,299,120,170,109,129,82,28,36,101,78,88,58,88,58,0,11
1500000US360610008002,360610008002,"Block Group 2, Census Tract 8, New York County, New York",472,118,311,115,195,104,116,80,49,55,67,62,161,107,150,105,11,18
1500000US360610008003,360610008003,"Block Group 3, Census Tract 8, New York County, New York",555,138,444,146,235,130,209,105,28,42,181,95,111,75,75,65,36,49
1500000US360610008004,360610008004,"Block Group 4, Census Tract 8, New York County, New York",838,177,593,173,388,176,205,114,36,41,169,105,245,110,245,110,0,11
1500000US360610008005,360610008005,"Block Group 5, Census Tract 8, New York County, New York",808,142,567,150,452,152,115,56,47,44,68,41,241,113,241,113,0,11
1500000US360610008006,360610008006,"Block Group 6, Census Tract 8, New York County, New York",531,150,255,120,157,85,98,97,40,64,58,68,276,144,246,137,30,47
1500000US360610009000,360610009000,"Block Group 0, Census Tract 9, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610009001,360610009001,"Block Group 1, Census Tract 9, New York County, New York",758,93,385,69,319,77,66,42,10,10,56,40,373,76,256,57,117,41
1500000US360610009002,360610009002,"Block Group 2, Census Tract 9, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610010010,360610010010,"Block Group 0, Census Tract 10.01, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610010011,360610010011,"Block Group 1, Census Tract 10.01, New York County, New York",769,60,360,76,282,75,78,39,4,7,74,40,409,80,366,82,43,25
1500000US360610010020,360610010020,"Block Group 0, Census Tract 10.02, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610010021,360610010021,"Block Group 1, Census Tract 10.02, New York County, New York",760,164,569,167,96,53,473,162,56,82,417,154,191,124,191,124,0,11
1500000US360610010022,360610010022,"Block Group 2, Census Tract 10.02, New York County, New York",771,183,377,150,187,100,190,136,41,41,149,133,394,143,394,143,0,11
1500000US360610010023,360610010023,"Block Group 3, Census Tract 10.02, New York County, New York",766,202,554,179,46,40,508,176,105,84,403,171,212,107,184,105,28,41
