GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; In family households:,Margin of Error; In family households:,Estimate; In family households: - In married-couple family:,Margin of Error; In family households: - In married-couple family:,Estimate; In family households: - In married-couple family: - Relatives,Margin of Error; In family households: - In married-couple family: - Relatives,Estimate; In family households: - In married-couple family: - Nonrelatives,Margin of Error; In family households: - In married-couple family: - Nonrelatives,"Estimate; In family households: - In male householder, no wife present, family:","Margin of Error; In family households: - In male householder, no wife present, family:","Estimate; In family households: - In male householder, no wife present, family: - Relatives","Margin of Error; In family households: - In male householder, no wife present, family: - Relatives","Estimate; In family households: - In male householder, no wife present, family: - Nonrelatives","Margin of Error; In family households: - In male householder, no wife present, family: - Nonrelatives","Estimate; In family households: - In female householder, no husband present, family:","Margin of Error; In family households: - In female householder, no husband present, family:","Estimate; In family households: - In female householder, no husband present, family: - Relatives","Margin of Error; In family households: - In female householder, no husband present, family: - Relatives","Estimate; In family households: - In female householder, no husband present, family: - Nonrelatives","Margin of Error; In family households: - In female householder, no husband present, family: - Nonrelatives",Estimate; In nonfamily households,Margin of Error; In nonfamily households
1500000US360610001001,360610001001,"Block Group 1, Census Tract 1, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002010,360610002010,"Block Group 0, Census Tract 2.01, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002011,360610002011,"Block Group 1, Census Tract 2.01, New York County, New York",1056,382,656,317,499,297,421,270,78,98,0,11,0,11,0,11,157,165,157,165,0,11,400,239
1500000US360610002012,360610002012,"Block Group 2, Census Tract 2.01, New York County, New York",1721,322,1482,375,512,218,512,218,0,11,162,134,130,105,32,38,808,342,808,342,0,11,239,105
1500000US360610002020,360610002020,"Block Group 0, Census Tract 2.02, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002021,360610002021,"Block Group 1, Census Tract 2.02, New York County, New York",618,331,507,337,456,366,456,366,0,11,51,80,51,80,0,11,0,11,0,11,0,11,111,64
1500000US360610002022,360610002022,"Block Group 2, Census Tract 2.02, New York County, New York",2095,461,1723,462,945,412,945,412,0,11,215,209,215,209,0,11,563,303,549,297,14,25,372,124
1500000US360610002023,360610002023,"Block Group 3, Census Tract 2.02, New York County, New York",1409,379,982,380,248,218,248,218,0,11,111,145,111,145,0,11,623,341,623,341,0,11,427,141
1500000US360610002024,360610002024,"Block Group 4, Census Tract 2.02, New York County, New York",1650,550,1384,603,1117,556,1117,556,0,11,56,90,43,69,13,21,211,223,211,223,0,11,266,158
1500000US360610002025,360610002025,"Block Group 5, Census Tract 2.02, New York County, New York",1751,404,1236,432,943,400,919,390,24,37,0,11,0,11,0,11,293,226,247,198,46,46,515,169
1500000US360610005000,360610005000,"Block Group 0, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610005001,360610005001,"Block Group 1, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610005002,360610005002,"Block Group 2, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610006000,360610006000,"Block Group 0, Census Tract 6, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610006001,360610006001,"Block Group 1, Census Tract 6, New York County, New York",1246,654,987,659,714,561,714,561,0,11,202,313,202,313,0,11,71,119,71,119,0,11,259,160
1500000US360610006002,360610006002,"Block Group 2, Census Tract 6, New York County, New York",3130,1286,2716,1326,727,422,727,422,0,11,598,638,496,497,102,160,1391,964,1020,589,371,458,414,165
1500000US360610006003,360610006003,"Block Group 3, Census Tract 6, New York County, New York",786,571,665,569,665,569,665,569,0,11,0,11,0,11,0,11,0,11,0,11,0,11,121,74
1500000US360610006004,360610006004,"Block Group 4, Census Tract 6, New York County, New York",754,578,532,579,452,552,452,552,0,11,0,11,0,11,0,11,80,130,80,130,0,11,222,160
1500000US360610006005,360610006005,"Block Group 5, Census Tract 6, New York County, New York",3929,1867,3641,1885,899,490,899,490,0,11,0,11,0,11,0,11,2742,1814,2742,1814,0,11,288,163
1500000US360610006006,360610006006,"Block Group 6, Census Tract 6, New York County, New York",2516,779,2333,782,1553,639,1553,639,0,11,0,11,0,11,0,11,780,570,768,567,12,21,183,110
1500000US360610007000,360610007000,"Block Group 0, Census Tract 7, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610007001,360610007001,"Block Group 1, Census Tract 7, New York County, New York",8778,914,3637,894,3354,890,3304,891,50,60,151,142,132,125,19,34,132,211,77,117,55,99,5141,741
1500000US360610007002,360610007002,"Block Group 2, Census Tract 7, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610008000,360610008000,"Block Group 0, Census Tract 8, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610008001,360610008001,"Block Group 1, Census Tract 8, New York County, New York",1064,388,976,392,492,339,492,339,0,11,75,95,75,95,0,11,409,313,362,279,47,74,88,58
1500000US360610008002,360610008002,"Block Group 2, Census Tract 8, New York County, New York",1388,453,1217,487,658,383,658,383,0,11,232,295,176,213,56,85,327,283,327,283,0,11,171,111
1500000US360610008003,360610008003,"Block Group 3, Census Tract 8, New York County, New York",1808,483,1583,504,893,496,893,496,0,11,79,119,52,78,27,41,611,304,590,299,21,34,225,208
1500000US360610008004,360610008004,"Block Group 4, Census Tract 8, New York County, New York",2020,480,1775,501,1063,487,1063,487,0,11,99,111,99,111,0,11,613,380,613,380,0,11,245,110
1500000US360610008005,360610008005,"Block Group 5, Census Tract 8, New York County, New York",1947,455,1706,484,1346,482,1346,482,0,11,149,143,149,143,0,11,211,159,211,159,0,11,241,113
1500000US360610008006,360610008006,"Block Group 6, Census Tract 8, New York County, New York",1224,398,841,410,513,290,411,220,102,152,124,195,124,195,0,11,204,261,204,261,0,11,383,255
1500000US360610009000,360610009000,"Block Group 0, Census Tract 9, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610009001,360610009001,"Block Group 1, Census Tract 9, New York County, New York",1624,218,1062,179,862,200,862,200,0,11,21,19,21,19,0,11,179,128,161,113,18,20,562,136
