GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US360610001001,360610001001,"Block Group 1, Census Tract 1, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002010,360610002010,"Block Group 0, Census Tract 2.01, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002011,360610002011,"Block Group 1, Census Tract 2.01, New York County, New York",1070,383,363,240,27,26,0,11,680,304,0,11,0,11,0,11,0,11,0,11
1500000US360610002012,360610002012,"Block Group 2, Census Tract 2.01, New York County, New York",1721,322,280,111,152,103,0,11,630,208,0,11,639,312,20,32,20,32,0,11
1500000US360610002020,360610002020,"Block Group 0, Census Tract 2.02, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002021,360610002021,"Block Group 1, Census Tract 2.02, New York County, New York",651,314,259,247,33,43,0,11,355,234,0,11,0,11,4,8,0,11,4,8
1500000US360610002022,360610002022,"Block Group 2, Census Tract 2.02, New York County, New York",2307,511,1005,370,601,306,0,11,567,279,0,11,85,108,49,63,17,30,32,52
1500000US360610002023,360610002023,"Block Group 3, Census Tract 2.02, New York County, New York",1409,379,206,102,288,180,0,11,370,252,0,11,401,319,144,151,46,61,98,137
1500000US360610002024,360610002024,"Block Group 4, Census Tract 2.02, New York County, New York",1650,550,536,440,204,179,0,11,315,230,0,11,565,541,30,50,30,50,0,11
1500000US360610002025,360610002025,"Block Group 5, Census Tract 2.02, New York County, New York",1751,404,847,226,15,24,0,11,579,328,0,11,75,85,235,182,0,11,235,182
1500000US360610005000,360610005000,"Block Group 0, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610005001,360610005001,"Block Group 1, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610005002,360610005002,"Block Group 2, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610006000,360610006000,"Block Group 0, Census Tract 6, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610006001,360610006001,"Block Group 1, Census Tract 6, New York County, New York",1252,655,60,92,27,42,0,11,1165,658,0,11,0,11,0,11,0,11,0,11
1500000US360610006002,360610006002,"Block Group 2, Census Tract 6, New York County, New York",3130,1286,244,173,0,11,0,11,1279,673,0,11,1588,1018,19,30,0,11,19,30
1500000US360610006003,360610006003,"Block Group 3, Census Tract 6, New York County, New York",786,571,106,88,0,11,32,44,648,557,0,11,0,11,0,11,0,11,0,11
1500000US360610006004,360610006004,"Block Group 4, Census Tract 6, New York County, New York",928,580,237,148,73,71,0,11,618,560,0,11,0,11,0,11,0,11,0,11
1500000US360610006005,360610006005,"Block Group 5, Census Tract 6, New York County, New York",3929,1867,81,70,1392,1824,13,20,1119,519,0,11,1324,678,0,11,0,11,0,11
1500000US360610006006,360610006006,"Block Group 6, Census Tract 6, New York County, New York",2529,779,446,325,26,35,0,11,1579,554,0,11,402,470,76,120,0,11,76,120
1500000US360610007000,360610007000,"Block Group 0, Census Tract 7, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610007001,360610007001,"Block Group 1, Census Tract 7, New York County, New York",8794,914,6424,911,214,158,0,16,1805,490,0,16,228,223,123,96,60,93,63,64
1500000US360610007002,360610007002,"Block Group 2, Census Tract 7, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610008000,360610008000,"Block Group 0, Census Tract 8, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610008001,360610008001,"Block Group 1, Census Tract 8, New York County, New York",1070,388,3,8,3,6,0,11,967,370,0,11,0,11,97,165,0,11,97,165
1500000US360610008002,360610008002,"Block Group 2, Census Tract 8, New York County, New York",1393,453,10,17,5,10,0,11,1272,454,0,11,106,167,0,11,0,11,0,11
1500000US360610008003,360610008003,"Block Group 3, Census Tract 8, New York County, New York",1811,483,72,88,0,11,0,11,1739,482,0,11,0,11,0,11,0,11,0,11
1500000US360610008004,360610008004,"Block Group 4, Census Tract 8, New York County, New York",2020,480,457,250,0,11,0,11,1346,484,6,11,113,182,98,96,54,79,44,54
