GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
1500000US360610001001,360610001001,"Block Group 1, Census Tract 1, New York County, New York",0,11,0,11,0,11
1500000US360610002010,360610002010,"Block Group 0, Census Tract 2.01, New York County, New York",0,11,0,11,0,11
1500000US360610002011,360610002011,"Block Group 1, Census Tract 2.01, New York County, New York",1070,383,1044,383,26,34
1500000US360610002012,360610002012,"Block Group 2, Census Tract 2.01, New York County, New York",1721,322,762,234,959,269
1500000US360610002020,360610002020,"Block Group 0, Census Tract 2.02, New York County, New York",0,11,0,11,0,11
1500000US360610002021,360610002021,"Block Group 1, Census Tract 2.02, New York County, New York",651,314,451,248,200,242
1500000US360610002022,360610002022,"Block Group 2, Census Tract 2.02, New York County, New York",2307,511,1745,436,562,285
1500000US360610002023,360610002023,"Block Group 3, Census Tract 2.02, New York County, New York",1409,379,671,327,738,279
1500000US360610002024,360610002024,"Block Group 4, Census Tract 2.02, New York County, New York",1650,550,533,292,1117,563
1500000US360610002025,360610002025,"Block Group 5, Census Tract 2.02, New York County, New York",1751,404,1511,396,240,175
1500000US360610005000,360610005000,"Block Group 0, Census Tract 5, New York County, New York",0,11,0,11,0,11
1500000US360610005001,360610005001,"Block Group 1, Census Tract 5, New York County, New York",0,11,0,11,0,11
1500000US360610005002,360610005002,"Block Group 2, Census Tract 5, New York County, New York",0,11,0,11,0,11
1500000US360610006000,360610006000,"Block Group 0, Census Tract 6, New York County, New York",0,11,0,11,0,11
1500000US360610006001,360610006001,"Block Group 1, Census Tract 6, New York County, New York",1252,655,1252,655,0,11
1500000US360610006002,360610006002,"Block Group 2, Census Tract 6, New York County, New York",3130,1286,1322,672,1808,1022
1500000US360610006003,360610006003,"Block Group 3, Census Tract 6, New York County, New York",786,571,786,571,0,11
1500000US360610006004,360610006004,"Block Group 4, Census Tract 6, New York County, New York",928,580,788,559,140,137
1500000US360610006005,360610006005,"Block Group 5, Census Tract 6, New York County, New York",3929,1867,2524,1812,1405,677
1500000US360610006006,360610006006,"Block Group 6, Census Tract 6, New York County, New York",2529,779,1720,611,809,546
1500000US360610007000,360610007000,"Block Group 0, Census Tract 7, New York County, New York",0,11,0,11,0,11
1500000US360610007001,360610007001,"Block Group 1, Census Tract 7, New York County, New York",8794,914,8213,854,581,351
1500000US360610007002,360610007002,"Block Group 2, Census Tract 7, New York County, New York",0,11,0,11,0,11
1500000US360610008000,360610008000,"Block Group 0, Census Tract 8, New York County, New York",0,11,0,11,0,11
1500000US360610008001,360610008001,"Block Group 1, Census Tract 8, New York County, New York",1070,388,1048,377,22,37
1500000US360610008002,360610008002,"Block Group 2, Census Tract 8, New York County, New York",1393,453,1393,453,0,11
1500000US360610008003,360610008003,"Block Group 3, Census Tract 8, New York County, New York",1811,483,1779,485,32,49
1500000US360610008004,360610008004,"Block Group 4, Census Tract 8, New York County, New York",2020,480,1741,453,279,243
1500000US360610008005,360610008005,"Block Group 5, Census Tract 8, New York County, New York",1947,455,1947,455,0,11
1500000US360610008006,360610008006,"Block Group 6, Census Tract 8, New York County, New York",1224,398,1203,400,21,37
1500000US360610009000,360610009000,"Block Group 0, Census Tract 9, New York County, New York",0,11,0,11,0,11
1500000US360610009001,360610009001,"Block Group 1, Census Tract 9, New York County, New York",1626,218,1493,219,133,83
1500000US360610009002,360610009002,"Block Group 2, Census Tract 9, New York County, New York",0,11,0,11,0,11
1500000US360610010010,360610010010,"Block Group 0, Census Tract 10.01, New York County, New York",0,11,0,11,0,11
1500000US360610010011,360610010011,"Block Group 1, Census Tract 10.01, New York County, New York",1528,174,1124,186,404,132
1500000US360610010020,360610010020,"Block Group 0, Census Tract 10.02, New York County, New York",0,11,0,11,0,11
1500000US360610010021,360610010021,"Block Group 1, Census Tract 10.02, New York County, New York",1796,474,595,346,1201,436
1500000US360610010022,360610010022,"Block Group 2, Census Tract 10.02, New York County, New York",1705,705,640,291,1065,653
1500000US360610010023,360610010023,"Block Group 3, Census Tract 10.02, New York County, New York",2550,657,801,340,1749,589
1500000US360610012001,360610012001,"Block Group 1, Census Tract 12, New York County, New York",1853,295,893,163,960,253
1500000US360610012002,360610012002,"Block Group 2, Census Tract 12, New York County, New York",825,232,798,233,27,28
1500000US360610012003,360610012003,"Block Group 3, Census Tract 12, New York County, New York",1077,214,965,209,112,82
1500000US360610013001,360610013001,"Block Group 1, Census Tract 13, New York County, New York",2119,352,1905,318,214,187
1500000US360610013002,360610013002,"Block Group 2, Census Tract 13, New York County, New York",2255,392,2006,356,249,123
1500000US360610014011,360610014011,"Block Group 1, Census Tract 14.01, New York County, New York",1628,293,1414,276,214,149
1500000US360610014012,360610014012,"Block Group 2, Census Tract 14.01, New York County, New York",1527,191,1369,195,158,87
1500000US360610014021,360610014021,"Block Group 1, Census Tract 14.02, New York County, New York",1500,274,1232,237,268,149
1500000US360610014022,360610014022,"Block Group 2, Census Tract 14.02, New York County, New York",1432,345,1034,310,398,158
1500000US360610015010,360610015010,"Block Group 0, Census Tract 15.01, New York County, New York",0,11,0,11,0,11
1500000US360610015011,360610015011,"Block Group 1, Census Tract 15.01, New York County, New York",2811,508,2483,451,328,150
1500000US360610015012,360610015012,"Block Group 2, Census Tract 15.01, New York County, New York",2699,435,2400,356,299,268
1500000US360610015013,360610015013,"Block Group 3, Census Tract 15.01, New York County, New York",992,256,953,253,39,62
1500000US360610015020,360610015020,"Block Group 0, Census Tract 15.02, New York County, New York",0,11,0,11,0,11
1500000US360610015021,360610015021,"Block Group 1, Census Tract 15.02, New York County, New York",3226,469,3089,458,137,107
1500000US360610015022,360610015022,"Block Group 2, Census Tract 15.02, New York County, New York",4152,558,3864,573,288,146
1500000US360610015023,360610015023,"Block Group 3, Census Tract 15.02, New York County, New York",0,11,0,11,0,11
1500000US360610016001,360610016001,"Block Group 1, Census Tract 16, New York County, New York",2601,550,2529,545,72,93
1500000US360610016002,360610016002,"Block Group 2, Census Tract 16, New York County, New York",752,346,607,341,145,114
1500000US360610016003,360610016003,"Block Group 3, Census Tract 16, New York County, New York",1778,619,1735,606,43,68
1500000US360610016004,360610016004,"Block Group 4, Census Tract 16, New York County, New York",1400,537,1385,537,15,25
1500000US360610016005,360610016005,"Block Group 5, Census Tract 16, New York County, New York",1019,416,916,400,103,104
1500000US360610018001,360610018001,"Block Group 1, Census Tract 18, New York County, New York",1094,381,822,339,272,196
1500000US360610018002,360610018002,"Block Group 2, Census Tract 18, New York County, New York",469,210,458,212,11,17
1500000US360610018003,360610018003,"Block Group 3, Census Tract 18, New York County, New York",1799,462,1571,457,228,137
1500000US360610018004,360610018004,"Block Group 4, Census Tract 18, New York County, New York",924,391,803,393,121,77
1500000US360610018005,360610018005,"Block Group 5, Census Tract 18, New York County, New York",841,287,748,257,93,68
1500000US360610018006,360610018006,"Block Group 6, Census Tract 18, New York County, New York",1829,561,1829,561,0,11
1500000US360610018007,360610018007,"Block Group 7, Census Tract 18, New York County, New York",1370,654,1278,669,92,88
1500000US360610020000,360610020000,"Block Group 0, Census Tract 20, New York County, New York",0,11,0,11,0,11
1500000US360610020001,360610020001,"Block Group 1, Census Tract 20, New York County, New York",2363,487,932,330,1431,364
1500000US360610020002,360610020002,"Block Group 2, Census Tract 20, New York County, New York",1955,417,887,330,1068,309
1500000US360610020003,360610020003,"Block Group 3, Census Tract 20, New York County, New York",546,166,233,129,313,120
1500000US360610021001,360610021001,"Block Group 1, Census Tract 21, New York County, New York",3374,487,3287,504,87,74
1500000US360610021002,360610021002,"Block Group 2, Census Tract 21, New York County, New York",3361,368,3220,367,141,71
1500000US360610022011,360610022011,"Block Group 1, Census Tract 22.01, New York County, New York",1831,454,961,315,870,428
1500000US360610022012,360610022012,"Block Group 2, Census Tract 22.01, New York County, New York",994,308,889,307,105,58
1500000US360610022013,360610022013,"Block Group 3, Census Tract 22.01, New York County, New York",1567,452,633,369,934,345
1500000US360610022014,360610022014,"Block Group 4, Census Tract 22.01, New York County, New York",2469,445,1449,311,1020,347
1500000US360610022021,360610022021,"Block Group 1, Census Tract 22.02, New York County, New York",2019,197,1725,195,294,116
1500000US360610024000,360610024000,"Block Group 0, Census Tract 24, New York County, New York",0,11,0,11,0,11
1500000US360610024001,360610024001,"Block Group 1, Census Tract 24, New York County, New York",3998,787,2146,844,1852,498
