,age1tot,age2tot,age3tot,age4tot,age5tot,age6tot,age7tot,age8tot,age9tot,ancs10tot,ancs11tot,ancs12tot,ancs13tot,ancs14tot,ancs15tot,ancs1tot,ancs2tot,ancs3tot,ancs4tot,ancs5tot,ancs6tot,ancs7tot,ancs8tot,ancs9tot,ancs_oth_tot,apg1tot,apg2tot,apg3tot,apg4tot,apg5tot,birthtot,bpl10tot,bpl11tot,bpl12tot,bpl13tot,bpl14tot,bpl15tot,bpl1tot,bpl2tot,bpl3tot,bpl4tot,bpl5tot,bpl6tot,bpl7tot,bpl8tot,bpl9tot,bpl_oth_tot,bwt1tot,bwt2tot,bwt3tot,bwt4tot,bwt5tot,bwt6tot,bwt7tot,bwt8tot,bwt9tot,educ1tot,educ2tot,educ3tot,eth_ap_tot,eth_bl_tot,eth_hi_tot,eth_wh_tot,ga1tot,ga2tot,ga3tot,ga4tot,ga5tot,mar1tot,mar2tot,mth1tot,mth2tot,mth3tot,mth4tot,nat1tot,nat2tot,par1tot,par2tot,pay1tot,pay2tot,pay3tot,pd,plur1tot,plur2tot,pob1tot,pob2tot,pob3tot,pob4tot,pob5tot,prenat1tot,prenat2tot,prenat3tot,prenat4tot,sex1tot,sex2tot,tract,weight1tot,weight2tot,weight3tot,weight4tot
184,,,10.0,42.0,39.0,68.0,72.0,27.0,6.0,,5.0,,,6.0,,72.0,13.0,14.0,,5.0,,23.0,,,94.0,,,6.0,250.0,,266.0,,,,,,7.0,151.0,10.0,,,5.0,,,,,79.0,,,,6.0,21.0,59.0,97.0,61.0,18.0,,,,26.0,126.0,44.0,58.0,,,,25.0,236.0,124.0,142.0,152.0,,83.0,30.0,151.0,115.0,129.0,137.0,,,,1014,243.0,23.0,,204.0,57.0,,,,,,,136.0,130.0,1019000.0,,,,
193,,,,22.0,16.0,38.0,22.0,13.0,,,,,,,,28.0,7.0,6.0,,5.0,,12.0,,,29.0,,,6.0,104.0,,116.0,,,,,,,78.0,,,,,,,,,27.0,,,,,16.0,27.0,31.0,35.0,,,,,10.0,52.0,20.0,30.0,,,,14.0,98.0,56.0,60.0,70.0,,30.0,14.0,78.0,38.0,63.0,53.0,,,,1014,104.0,12.0,,94.0,21.0,,,,,,,61.0,55.0,1019800.0,,,,
195,,,8.0,24.0,32.0,46.0,32.0,10.0,,,,,,,,47.0,5.0,5.0,9.0,,,12.0,,,47.0,,,,140.0,,153.0,,,,,,,103.0,5.0,7.0,,,,,,,30.0,,,,,7.0,39.0,60.0,33.0,10.0,,,,,68.0,31.0,43.0,,,,5.0,143.0,71.0,82.0,95.0,,37.0,19.0,103.0,50.0,87.0,66.0,,,,1014,147.0,6.0,5.0,126.0,22.0,,,,,,,78.0,75.0,1020000.0,,,,
201,,,16.0,52.0,66.0,70.0,53.0,18.0,,,5.0,,,,,109.0,10.0,13.0,,,,14.0,,,98.0,5.0,,15.0,253.0,,280.0,,,,,,,168.0,8.0,,,5.0,,,,,87.0,,,,6.0,19.0,58.0,115.0,64.0,14.0,,,,11.0,173.0,39.0,45.0,,,,23.0,249.0,158.0,122.0,173.0,6.0,67.0,34.0,168.0,112.0,139.0,141.0,,,,1014,267.0,13.0,,179.0,99.0,,,,,,,133.0,147.0,1020800.0,,,,
203,,11.0,27.0,77.0,110.0,97.0,65.0,10.0,,,,,,,,173.0,44.0,52.0,,,,20.0,,,74.0,6.0,5.0,20.0,361.0,,398.0,,,,,,,296.0,38.0,,,,,,,,45.0,,6.0,8.0,7.0,29.0,99.0,149.0,76.0,24.0,,,,14.0,228.0,123.0,21.0,5.0,8.0,7.0,40.0,338.0,281.0,117.0,247.0,8.0,98.0,45.0,296.0,102.0,200.0,197.0,,,,1014,385.0,13.0,,243.0,154.0,,,,,,,220.0,178.0,1021000.0,,,,
205,,,8.0,30.0,56.0,79.0,56.0,12.0,,,5.0,,,,,107.0,6.0,24.0,,,,13.0,,,65.0,,,13.0,217.0,7.0,244.0,,,,,,,155.0,14.0,,,5.0,,,5.0,,48.0,,,,,14.0,36.0,115.0,59.0,12.0,,,,17.0,155.0,42.0,23.0,,,,13.0,223.0,138.0,106.0,153.0,7.0,57.0,27.0,155.0,89.0,138.0,106.0,,,,1014,235.0,9.0,8.0,165.0,71.0,,,,,,,107.0,137.0,1021200.0,,,,
207,,,8.0,28.0,38.0,37.0,29.0,,,,,,,,,63.0,9.0,5.0,,,,6.0,,,48.0,,,6.0,131.0,,142.0,,,,,,,92.0,,,,,,,,,40.0,,,,,10.0,34.0,56.0,29.0,8.0,,,,6.0,93.0,22.0,15.0,,,,8.0,127.0,74.0,68.0,94.0,,28.0,16.0,92.0,50.0,83.0,58.0,,,,1014,140.0,,,86.0,54.0,,,,,,,75.0,67.0,1021400.0,,,,
212,,,16.0,88.0,89.0,137.0,89.0,37.0,,11.0,8.0,,,6.0,,130.0,19.0,35.0,5.0,5.0,,28.0,8.0,,158.0,,7.0,34.0,412.0,6.0,462.0,,,,5.0,,,279.0,22.0,,,9.0,,,,,129.0,,,,11.0,30.0,109.0,175.0,106.0,24.0,,,,19.0,234.0,88.0,106.0,,7.0,,34.0,415.0,266.0,196.0,295.0,15.0,109.0,42.0,279.0,183.0,234.0,227.0,,,,1014,450.0,12.0,5.0,338.0,118.0,,,,,,,230.0,232.0,1022000.0,,,,
214,,,18.0,36.0,38.0,45.0,68.0,12.0,,,,,,,,75.0,19.0,,,,5.0,23.0,,,71.0,,,14.0,201.0,,223.0,,,,,,,155.0,,,,,,,,,57.0,,,,,16.0,43.0,93.0,49.0,17.0,,,,7.0,112.0,31.0,68.0,,,,7.0,210.0,122.0,101.0,156.0,,37.0,26.0,155.0,68.0,112.0,111.0,,,,1014,215.0,8.0,,156.0,64.0,,,,,,,106.0,117.0,1022200.0,,,,
217,,15.0,32.0,123.0,115.0,101.0,56.0,17.0,,,,,,,,198.0,48.0,85.0,5.0,,,7.0,,,92.0,,6.0,28.0,422.0,,459.0,,,,,,,306.0,62.0,,,5.0,,,,,73.0,,,,8.0,29.0,121.0,185.0,93.0,21.0,,,,7.0,256.0,168.0,22.0,,,10.0,27.0,420.0,344.0,115.0,305.0,13.0,90.0,51.0,306.0,152.0,199.0,260.0,,,,1014,437.0,22.0,,250.0,208.0,,,,,,,225.0,234.0,1022400.0,,,,
219,,,9.0,50.0,58.0,76.0,51.0,18.0,,,,,,,,80.0,11.0,32.0,8.0,,,19.0,5.0,,77.0,,,13.0,246.0,,263.0,,,,,,,145.0,18.0,8.0,,,,5.0,,,75.0,,,5.0,,14.0,55.0,102.0,60.0,21.0,,,,10.0,142.0,61.0,40.0,,,,12.0,240.0,143.0,120.0,145.0,9.0,73.0,35.0,145.0,118.0,123.0,139.0,,,,1014,255.0,8.0,,167.0,95.0,,,,,,,135.0,128.0,1022600.0,,,,
